GNL,Name,
7290109700007,תומר יבוא ושווק מוצרי מזון (1983) בע,
7290111700002,מכוורת עמק חפר בע,
7290111900006,נ.ר.ג יסמין יצור ושיווק מוצרי מזון בע,
7290112600004,קפה אל נחלה בני רפקי נחלה בעמ,
7290114700009,השחר העולה בע,
7290121600002,טחנות ישראליות בעמ,
7290126600007,אינטרסן (1996) בע,
7290127900007,מחלבת רג'ב בע,
7290129700001,צ.י. תעשיות מזון יבנה בע,
7290130100005,כמיפל בעמ,
7290130200002,טחנת קמח דגן (2006) בע,
7290132400004,"רזיט שיווק בע""מ",
7290132500001,מ. אקרמן בעמ,
7290133300006,"תבליני הדור השלישי בע""מ",
7290133400003,דיפלומט מפיצים (1968) בע,
7290134400002,"מאמא מרי בע""מ",
7290140300006,מוצרי איכות אמריקאיים בע,
7290141800000,סובחי נחלה ובניו בע,
7290142100000,"חצר כנרת-מוצרי תמר אגודה שיתופית חקלאית בע""מ",
7290143400000,נטו סחר בעמ,
7290153400007,נטו מלינדה סחר בעמ,
7290156500001,"ששון שות' (פירות יבשים) בע""מ",
7290159100000,ג. וילי פוד אינטרנשיונל בעמ,
7290169700009,זארובי פיתוחי הגליל בענ,
7290170800002,"משק ויילר בע""מ",
7290171000005,"אינטרייד ג.ג. בע""מ",
7290172300005,"ג. קמינסקי ושות' (1993) בע""מ",
7290173600005,"פרמה גורי בע""מ",
7290184400007,קליר כימיקלים בע,
7290186300008,"סאסאטק אגש""ח בע""מ",
7290187900009,עלי קטיף ירקות ללא תולעים תשנ,
7290190600002,פריניב,
7290194900009,"לולי חוות גבעות עולם בע""נ",
7290197800009,אמברוזיה סופרהרב בעמ,
7290197900006,ליב (לחיות יותר בטבע) בע,
7290200800002,שמחה זה אנחנו,
7290220400008,"ניאופארם מוצרי צריכה בע""מ",
7290235600004,ביו אומגה (ישראל) בע,
7290259900005,ויטה פרי גליל (החדשה) בע,
7290266500007,נגה גלידות שותפות מוגבלת,
7290280400000,ציון תורג'מן בעמ,
7290281400009,נפטון מוצרי מזון 1990 בע,
7290287600007,גליקסמן שיווק ביצים (1994) בעמ,
7290293600008,טחנת קמח יפו (1972)בע,
7290294900008,מחלבות טל טלה בע,
7290295600006,עדן קינוחים בעמ,
7290296100000,טעמן שיווק מזון בע,
7290328800007,פרסקו חצבה 2006 בע,
7290329700009,יקבי רמת הגולן בע,
7290334200006,ג'נרל מילס ישראל בע,
7290339800003,סלטי עמים ברדה,
7290340300004,טטרה פארם (1997) בע,
7290340800009,"א.ג.ס ירוק מסחר ושרותים בע""מ",
7290343100007,גבינות משק יעקבס בעמ,
7290351700008,פריניב קשת מיצים,
7290357300004,השדה מוצרים אורגניים בע,
7290359400009,"מטעמי פאר (א.מ.נ.) בע""מ",
7290361300007,"מאפית יוסף ברון בע""מ",
7290366300002,מעדני הטלה והעגלת בע,
7290388000003,יורופוד שיווק 2001 בע,
7290388300011,"בשביל הטבע מוצרי בריאות בע""מ",
7290392300007,נוקדי המדבר,
7290394200008,"ש.א. אנטקוביץ השקעות בע""מ",
7290400000004,קפוא זן תעשיות מזון בע,
7290400700003,דין שיווק וקלייה 2021 בעמ,
7290402800008,יקב רקאנטי בע,
7290409200009,"חלוצה בע""מ",
7290413400006,דנאגיס בעמ,
7290414800003,"פרוטרי שיווק בע""מ",
7290415300007,הרבה דרם מוצרים טבעיים בע,
7290422400004,דורום תעשיות מזון ופסטה בעמ,
7290431600006,איי.בי.בי. אל ספיריט בע,
7290433900005,חוות הבופאלו בע,
7290440600004,ביצי כפר בע,
7290443000009,לירון קרביץ יבוא ושיווק,
7290450300000,שופרא כל (בניוסי) בע,
7290452900000,"הנקל סוד בע""מ",
7290458800007,א.ל ייצור ושווק תבלינים בע,
7290462400002,"תעשיות פילטונה בע""מ",
7290462600006,"ע. רן שיווק - כיטוב בע""מ",
7290466100007,קיראי סחר והשקעות בעמ,
7290468400006,יקב הרי גליל אחזקות אגש,
7290469600009,"אליגם בע""מ",
7290470100000,א. שטמפר גידולים אורגניים בעמ,
7290470400001,עוף ירושלים שיווק בע,
7290472300002,א.ע.ש קליית ציון בע,
7290487100000,"נטורל קייקס בע""מ",
7290490200001,מזרח ומערב יבוא ושיווק בע,
7290492800001,"מנדל טי. אם. סחר ושיווק בע""מ",
7290499000008,חוות פטריות תקוע בע,
7290507800002,ש. שאשא (יגאל) יצור ושיווק דברי מאפה מיוחדים,
7290508000009,קפה סעדי בע,
7290516000004,אופאל ש.י. אינטרנשיונל בע,
7290526100008,אלטמן בריאות שותפות כללית,
7290536600000,סוכנות עמוס ממתקים בעמ,
7290536700007,"יקבי ציון 1982 בע""מ",
7290541100007,מאי מרקט מ.י בע,
7290549900005,"טבע מהדרין י.א בע""נ",
7290554800000,מ.ל.מ מרכז לשיווק ממתקים בע,
7290555600005,"אלמנדוס בע""מ",
7290561600006,"רקיט בנקיזר (המה""ת) בע""מ",
7290585600006,"יעד ממתקים בע""מ",
7290591400003,טעמי אסיה בע,
7290593400001,"דילייט 2005 בע""מ",
7290595900004,"רפאלס בריא וטעים בע""מ",
7290603500004,"יורוסטנדרט בע""מ",
7290607800001,"רוצים את הטבע בע""מ",
7290620900009,גלוברנדס מזון בע,
7290624600004,גרין פילד מזון בע,
7290625400009,מאמי קר בע,
7290634500004,אם החיטה בעמ,
7290636800003,מחלבות סוסיא בע,
7290641100006,י.ח בהאמס ניהול שיווק ואחזקות בעמ,
7290645200009,ממה חטיפי אנרגיה בע,
7290653100001,י.ש חמד תעשיות בע,
7290654700002,פודס אנד סטאף בע,
7290655800008,מור-ים מרקטינג בע,
7290670800007,"ד. חי שיווק תוצרת חקלאית בע""מ",
7290672000009,מימונס אפיה בע,
7290672600001,אלף נשיקות בע,
7290679600004,הילה קוסמטיקה הרבליסטית בעמ,
7290681700006,"מבשלת הארץ בע""מ",
7290683300006,"פיוצ'ר סל בע""מ",
7290687600003,כרמלים שדות חדשים בע,
7290692000003,אביר הבר בעמ,
7290692400001,שקוף שזה טבעי בע,
7290693100009,"מוטקה החולב בע""מ",
7290693800008,"דני וגלית בע""מ",
7290700100015,"כל-בו חצי חינם בע""מ",
7290700700000,"אנוטקה בע""מ",
7290701200004,ל. פלמינגו ישראל בע,
7290702800005,אשר השילוני,
7290717300002,"דורו איטליאן פרודקוס בע""מ",
7290725900010,"יינות ביתן בע""מ",
7290727700007,"הקשר בין מדע וטבע - ביוקר (ישראל) בע""מ",
7290734800004,טי שייפ בע,
7290740000009,עת רן (1996) בעמ,
7290749100007,תבליני מימון,
7290754800008,מיס שריתה בעמ,
7290763800006,בסט מייסטר הבשר בע,
7290780000007,"פארמה דיל (פ.א.ב.) שיווק והפצה בע""מ",
7290804800002,דדוש דניאל שיווק מזון בע,
7290807000003,ק.א. שוקולד בע,
7290810700006,אול אורגני בעמ,
7290812200009,"מכון אברהמסון בע""מ",
7290814200007,נוטרה זן בע,
7290819400006,"מחלבת גלילי בע""מ",
7290822700001,אורגניק זון בע,
7290828600008,"גדות אגרו בע""מ",
7290844000004,וגה מוצרים טבעוניים בע,
7290849700008,"אלגקור טכנולוגיות בע""מ",
7290855000000,מרסי גודיז בע,
7290863300000,אשר שיווק טבע בע,
7290867700004,מרלד חברה למסחר בע,
7290868900007,"אשוש חצב בע""מ",
7290869400001,מג'הול פלוס בע,
7290870000009,"מוטי שף בע""מ",
7290871200002,"דפנה תעשיות א.מ בע""מ",
7290887800005,גרין לייט פוד בע,
7290889200001,ביכורים מזון ומאפה בעמ,
7290893100007,"א.ר אילו בע""מ",
7290899200008,טרה מאטר נקטר בע,
7290899700003,"כולגריל בע""מ",
7290902100004,טסה שוקולד בע,
7290905500009,"פוד לידר בע""מ",
7290905900007,"פריריינג' בע""מ",
7290906600005,"טחנת קמח רוט בע""מ",
7290915100008,שוואלם ש.י.ש ייבוא בעמ,
7290919900000,"מורינגה עץ הפלא בע""מ",
7290929700003,צוקרמן מוצרים טבעיים בעמ,
7290934100003,ג''ימס ריצרדסון,
7290934800002,"המאפה של ד""ר מרק בריאות באפייה",
7290938100009,"אול טישיו אינטרנשיונל בע""מ",
7290945100009,"ש. רוזנרס בע""מ",
7290946400009,תבואות מוצרי מזון אורגניים טבעיים בע,
7290952600004,מדשא תעשיות מזון בע,
7290954300001,"פיס אוף בין בע""מ",
7290956500003,"מרס ריגלי ישראל בע""מ",
7290960600003,ש.ס. אנימול בע,
7290961100007,"חקלאות עין חרוד אגש""ח בע""מ",
7290965600008,איטסיין בע,
7290966200009,פוד קולקשן בע,
7290968600005,יקב טפרברג 1870 בעמ,
7290972100003,"פיצוחי הטיב 2015 בע""מ",
7290979200003,הררית הגליל תעשיות מזון בע,
7290993100006,"צ. צור סוכנויות בע""מ",
7290995100004,"אדום גרופ למזון שיווק והפצה בע""מ",
7290998700003,ר.ב. מוצרי דגנים בע,
7290999900006,"סופר אינפיניטי סחר בע""מ",
72910001300005,אביה שיווק מזון ומעדנים,
7291001000004,נטורפוד בע,
7291001100001,"ארציאלי - טחינה אילת בע""מ",
7291001200008,צפניה ברזילי בע,
7291001500001,פרימיום חברה לדברי מתיקה בעם,
7291002100000,"אקלר בע""מ",
7291002300004,שיווק הדרור,
7291004100008,ג'מוקה,
7291004500006,דברים טובים סגל,
7291006100006,"סיורי פיתוח בע""מ",
7291006900002,"ג'י.אס.קיי. קונסיומר הלת'קר ישראל בע""מ",
7291007700007,יורוצ'יז יבוא ושיווק בע,
7291008700006,"רדקס יבוא ושיווק בע""מ",
7291009200000,"נטורלי גוד אינטרנשיונל בע""מ",
7291009500001,ג.מ טעם הארץ בע,
7291009700005,שלמון מוצרים אורגניים בע,
7291010200006,"מ. דוידס פודס בע""מ",
7291010700001,די אמ אס דאטהמנאג' סולושיינס בע,
7291010900005,דיינה סי בע,
7291012000000,א.ג.ת.ד שיווק והפצה 2006 בע,
7291012100007,"רסטרטו יבוא ושיווק בע""מ",
7291012500005,פוג'יקום בע,
7291013100006,טאו טבע,
7291014800004,בריאני בע,
7291014900001,מ.ר נאוברנד בע,
7291015000007,"נונה נ.ר חברת למסחר בע""מ",
7291018200008,אדום יבוא מזון בע,
7291018700003,אמא מ.א.א ניהול והשקעות בעמ,
7291020200003,סאן פוד טרייד 2016 בעמ,
7291020900002,י. איטליאנו אחזקות בע,
7291023700005,"בלו פיש גורמה סולושנס בע""מ",
7291025000004,אדום כהה בע,
7291025200008,"מאמא קיו בע""מ",
7291025600006,פרוזן פקטורי / פיצה פאפא'לה,
7291032500009,רום גת שיווק בע,
7291032600006,איי פוד אינטרנשיונל בע,
7291035200005,תמרה מוצרי איכות בע,
7291039800003,אראל תוצרת חקלאית בע,
7291041400000,וואלי מרקט 2018 א.ד.ע בע,
7291042400009,עולם של טבע,
7291044000009,מ. מורדכי חברה לשיווק והפצה בע,
7291045900001,"הבקבוק א.ש.ט. בע""מ",
7291046000007,"ישרקו שיווק מותגי מזון בינלאומיים בע""מ",
7291048500000,טחנת האבן קואופ בע,
7291049300005,בני פאוזי שמשום (2009) בע,
7291049700003,אקופרנד אייל אלאלוף,
7291053600009,מאפיית אריאל בע״מ,
7291056600006,ורסיה פרוייקטים בע״מ,
7291060600009,אספיריט בע,
7291061000006,"הינומן בארי תעשיות בע""מ",
7291063500009,לטפוד בע,
7291063700003,ג׳קוב שיווק 2020 בע״מ,
7291064900006,מאפיית בית הלחמניה בע״מ,
7291069100005,"טי.או.אר פרויקטים בע""מ",
7291071500008,תימקו בירה בע״מ,
7291072300003,פופקולנד בע״מ,
7291076500003,"פנינה רוזנבלום סי בי די מוצרים בע""מ",
7291078300007,"השקד אומנות ומסחר בע""מ",
7291078700005,"סוויטאנגו בע""מ",
7291082300000,"מפגש שייח 1992 בע""מ",
7291083700007,"איסבקו חברה ישראלית למשקאות בע""מ",
7291084800002,קפולסקי אדל בע,
7291085400004,שי ללא גלוטן,
7291086700004,"פוראטוס ישראל ללא גלוטן בע""מ",
7291087300005,"א.מ.שרון שיווק (2014) בע""מ",
7291098100007,טל פרוג'י דורומי,
7291100700003,בהיג קעואר ובניו בע,
7291102200006,"אסמים חבילות שי בע""מ",
7291102400000,"מזל שווקים איי אל בע""מ",
7291107800003,"טבע ירוק ש.ש בע""מ",
7291110700000,"דילר בי אם די פורמולה בע""מ",
7291111400008,"סופר קמח רובינפלד בע""מ",
7291113900001,מאיר רוזנטל - שיווק ספישל,
7291115600008,"אבוט מעבדות רפואיות בע""מ",
7291118200007,"ליהי עדי יבוא גרופ בע""מ",
7291121400005,"פרידנזון פתרונות פ.ל בע""מ",
7291128800006,"מאסטר קאר סחר בע""מ",
7291128900003,"פלסטו שיווק (אמיר) בע""מ",
7291129400007,גרו גרין בעמ,
7291131200008,"פיקסל אמ.ג'י אמ שיווק והפצה בע""מ",
